 1991    0.4134    0.4583    0.4521    0.4571    0.3294    0.3422    0.3294    0.2880    0.2539    0.2379    0.2349    0.2289    0.1995    0.1618    0.2100    0.2969    0.1690    0.0838    0.0621    0.1196    0.2728    0.4203    0.5770    0.6802    0.7867    0.7290    0.6080    0.5472    0.3793    0.1968    0.1095    0.2451    0.2883    0.2754    0.2653    0.2643
 1992    0.4582    0.6681    0.6472    0.7054    0.4498    0.4050    0.4027    0.4229    0.3918    0.4805    0.4640    0.4187    0.2009    0.1389    0.1806    0.2991    0.3054    0.1344    0.1151    0.1550    0.2958    0.4800    0.6728    0.8689    0.9729    0.8201    0.6389    0.4283    0.2514    0.1385    0.1464    0.3639    0.4383    0.4270    0.4170    0.4165
 1993    0.4881    0.4990    0.4265    0.5059    0.4981    0.5784    0.6300    0.6953    0.5330    0.5200    0.4398    0.3687    0.2493    0.2629    0.3791    0.4969    0.4622    0.2127    0.1693    0.3078    0.4563    0.6523    0.8154    0.8599    0.8813    0.7815    0.6754    0.5545    0.4197    0.2961    0.2435    0.4482    0.5092    0.4918    0.4829    0.4831
 1994    0.4415    0.5145    0.6200    0.6166    0.4665    0.5743    0.7938    1.0076    0.7276    0.7532    0.6397    0.5653    0.3799    0.3302    0.4965    0.6538    0.5869    0.3215    0.3695    0.4676    0.5481    0.6538    0.8049    0.8589    0.8868    0.8464    0.7144    0.6297    0.5037    0.3843    0.4265    0.6284    0.7446    0.7179    0.6986    0.6969
 1995    0.5501    0.6859    0.7372    0.7835    0.7252    1.0058    1.2971    1.5226    1.3888    1.6783    1.4127    1.2650    0.7998    0.5370    0.7183    1.0467    0.9343    0.3828    0.3159    0.3684    0.4760    0.6492    0.8626    0.9852    1.0872    1.0072    0.7954    0.5836    0.3907    0.2651    0.2975    0.7614    0.9486    0.9604    0.9475    0.9400
 1996    0.5351    0.7446    0.7623    0.8918    0.9787    1.6466    2.4667    2.7800    2.6586    3.1548    2.9069    1.9800    1.1127    0.6595    1.0455    1.6355    1.3483    0.5892    0.5226    0.5579    0.7209    0.8681    0.9239    0.8981    0.8853    0.8438    0.8198    0.8050    0.7568    0.6999    0.7901    1.0785    1.1012    1.1114    1.1137    1.1435
 1997    0.6313    0.8472    1.0041    1.4573    1.6502    2.3742    3.4134    4.2114    3.9182    4.4748    3.6859    1.9828    1.0264    0.8249    1.3336    1.9079    1.8767    1.0301    0.7633    0.6640    0.6787    0.7378    0.8189    0.9019    1.0033    1.0700    0.9604    0.8624    0.7646    0.6642    0.6927    1.0375    1.2429    1.2339    1.1919    1.1799
 1998    0.9907    1.0513    1.1989    1.5241    1.4115    1.7442    2.0010    2.4130    2.8077    2.5635    1.6971    1.1956    0.8817    1.1096    1.6634    1.9092    1.7605    0.7881    0.6274    0.6455    0.6966    0.8300    0.9613    1.0381    1.1103    1.1260    1.0186    0.8561    0.7229    0.6315    0.7057    1.2464    1.1124    1.1177    1.1458    1.1560
 1999    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000
 2000    0.8858    0.9174    0.8598    0.8046    0.5794    0.5723    0.5585    0.5466    0.5348    0.5323    0.4502    0.4253    0.3738    0.3725    0.4800    0.7623    1.2690    1.5427    1.3181    1.0188    0.8869    0.8917    0.9961    1.1131    1.2237    1.2579    1.0968    0.8896    0.6713    0.4242    0.2867    0.7297    0.9146    0.9314    0.9277    0.9438
 2001    0.8911    0.9720    0.8750    0.7585    0.4967    0.4599    0.4796    0.4588    0.4149    0.3883    0.3600    0.3534    0.3382    0.3085    0.4543    0.7962    1.5804    1.8122    1.5615    1.2697    1.2103    1.1676    1.1776    1.1340    1.1410    1.0422    0.9037    0.8214    0.7615    0.6701    0.5706    0.7408    0.9046    0.9072    0.9268    0.9186
 2002    0.7386    0.8657    0.8589    0.7187    0.4794    0.4480    0.4184    0.3861    0.3350    0.3199    0.2860    0.2633    0.2442    0.2492    0.4212    0.9462    2.1938    2.7764    2.1756    1.6001    1.2889    1.1942    1.1984    1.1460    1.0853    1.0315    0.9151    0.7694    0.6306    0.4241    0.2549    0.7064    0.8977    0.9040    0.9069    0.9273
 2003    0.8246    0.9074    0.8958    0.7152    0.5214    0.4564    0.4466    0.4149    0.3585    0.3612    0.3327    0.3015    0.2306    0.2779    0.6228    1.3715    3.3080    3.3381    2.2313    1.5455    1.2896    1.1911    1.2434    1.2979    1.3036    1.1403    0.8187    0.5615    0.3150    0.1814    0.2244    0.7527    0.9525    0.9584    0.9620    0.9865
 2004    0.7086    0.8494    0.6918    0.5943    0.5183    0.4585    0.5004    0.5329    0.5473    0.5158    0.4882    0.5008    0.3858    0.5116    0.9657    1.7210    3.7128    3.7423    2.7675    1.8843    1.5102    1.3171    1.2219    1.1128    1.0377    0.9439    0.8197    0.7309    0.6099    0.3768    0.2811    0.7638    0.9179    0.9085    0.9124    0.9389
 2005    0.6156    0.6475    0.6467    0.7008    0.6268    0.7226    0.8414    0.8193    0.7960    0.8742    0.8574    0.8050    0.6002    0.5915    1.1152    2.1423    4.5042    4.5441    2.9619    1.8552    1.3986    1.2549    1.2179    1.1435    1.1145    1.0539    0.8577    0.6976    0.5303    0.2824    0.3068    0.8551    1.0599    1.0401    1.0340    1.0435
 2006    0.7766    0.7972    1.0665    1.0913    0.8404    0.9940    1.2136    1.3474    1.1869    1.4886    1.5580    1.2695    0.8225    0.7625    1.3664    2.5849    4.8287    4.4351    2.8764    1.8746    1.4831    1.3284    1.2879    1.2427    1.2187    1.1378    0.9230    0.6856    0.5009    0.4413    0.4945    1.0031    1.1242    1.1141    1.1099    1.1299
